bar_mark,host_type,host_code,group_name,bar_type,diameter_mm,spacing_mm,shape_code,shape_description,quantity,single_length_m,total_length_m,total_weight_kg,anchorage_status,lap_status,hook_status,note
SP-L1-17-049,internal_support,SP-L1-17,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-17-050,internal_support,SP-L1-17,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-18-051,internal_support,SP-L1-18,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-18-052,internal_support,SP-L1-18,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-19-053,internal_support,SP-L1-19,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-19-054,internal_support,SP-L1-19,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-20-055,internal_support,SP-L1-20,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-20-056,internal_support,SP-L1-20,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-1-057,internal_support,SP-L2-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-1-058,internal_support,SP-L2-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-2-059,internal_support,SP-L2-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-2-060,internal_support,SP-L2-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-3-061,internal_support,SP-L2-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-3-062,internal_support,SP-L2-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-4-063,internal_support,SP-L2-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-4-064,internal_support,SP-L2-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-5-065,internal_support,SP-L2-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-5-066,internal_support,SP-L2-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-6-067,internal_support,SP-L2-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-6-068,internal_support,SP-L2-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-7-069,internal_support,SP-L2-7,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-7-070,internal_support,SP-L2-7,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-8-071,internal_support,SP-L2-8,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-8-072,internal_support,SP-L2-8,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-9-073,internal_support,SP-L2-9,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-9-074,internal_support,SP-L2-9,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-10-075,internal_support,SP-L2-10,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-10-076,internal_support,SP-L2-10,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-11-077,internal_support,SP-L2-11,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-11-078,internal_support,SP-L2-11,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-12-079,internal_support,SP-L2-12,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-12-080,internal_support,SP-L2-12,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-13-081,internal_support,SP-L2-13,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-13-082,internal_support,SP-L2-13,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-14-083,internal_support,SP-L2-14,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-14-084,internal_support,SP-L2-14,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-15-085,internal_support,SP-L2-15,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-15-086,internal_support,SP-L2-15,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-16-087,internal_support,SP-L2-16,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-16-088,internal_support,SP-L2-16,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-17-089,internal_support,SP-L2-17,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-17-090,internal_support,SP-L2-17,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-18-091,internal_support,SP-L2-18,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-18-092,internal_support,SP-L2-18,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-19-093,internal_support,SP-L2-19,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-19-094,internal_support,SP-L2-19,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-20-095,internal_support,SP-L2-20,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-20-096,internal_support,SP-L2-20,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-1-097,internal_support,SP-L3-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-1-098,internal_support,SP-L3-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-2-099,internal_support,SP-L3-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-2-100,internal_support,SP-L3-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-3-101,internal_support,SP-L3-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-3-102,internal_support,SP-L3-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-4-103,internal_support,SP-L3-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-4-104,internal_support,SP-L3-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-5-105,internal_support,SP-L3-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-5-106,internal_support,SP-L3-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-6-107,internal_support,SP-L3-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-6-108,internal_support,SP-L3-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
