bar_mark,host_type,host_code,group_name,bar_type,diameter_mm,spacing_mm,shape_code,shape_description,quantity,single_length_m,total_length_m,total_weight_kg,anchorage_status,lap_status,hook_status,note
DW-S4-001-015,diaphragm_wall,DW-S4-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,546,29.4,16052.4,32065.98,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S4-001-016,diaphragm_wall,DW-S4-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,109,33.04,3601.36,3197.34,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
SP-L1-1-017,internal_support,SP-L1-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-1-018,internal_support,SP-L1-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-2-019,internal_support,SP-L1-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-2-020,internal_support,SP-L1-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-3-021,internal_support,SP-L1-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-3-022,internal_support,SP-L1-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-4-023,internal_support,SP-L1-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-4-024,internal_support,SP-L1-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-5-025,internal_support,SP-L1-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-5-026,internal_support,SP-L1-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-6-027,internal_support,SP-L1-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-6-028,internal_support,SP-L1-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-7-029,internal_support,SP-L1-7,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-7-030,internal_support,SP-L1-7,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-8-031,internal_support,SP-L1-8,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-8-032,internal_support,SP-L1-8,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-9-033,internal_support,SP-L1-9,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-9-034,internal_support,SP-L1-9,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-10-035,internal_support,SP-L1-10,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-10-036,internal_support,SP-L1-10,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-11-037,internal_support,SP-L1-11,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-11-038,internal_support,SP-L1-11,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-12-039,internal_support,SP-L1-12,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-12-040,internal_support,SP-L1-12,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-13-041,internal_support,SP-L1-13,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-13-042,internal_support,SP-L1-13,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-14-043,internal_support,SP-L1-14,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-14-044,internal_support,SP-L1-14,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L1-1-045,internal_support,DB-L1-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L1-1-046,internal_support,DB-L1-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L1-2-047,internal_support,DB-L1-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L1-2-048,internal_support,DB-L1-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L1-3-049,internal_support,DB-L1-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L1-3-050,internal_support,DB-L1-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L1-4-051,internal_support,DB-L1-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L1-4-052,internal_support,DB-L1-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-1-053,internal_support,SP-L2-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-1-054,internal_support,SP-L2-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-2-055,internal_support,SP-L2-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-2-056,internal_support,SP-L2-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-3-057,internal_support,SP-L2-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-3-058,internal_support,SP-L2-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-4-059,internal_support,SP-L2-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-4-060,internal_support,SP-L2-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-5-061,internal_support,SP-L2-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-5-062,internal_support,SP-L2-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-6-063,internal_support,SP-L2-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-6-064,internal_support,SP-L2-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-7-065,internal_support,SP-L2-7,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-7-066,internal_support,SP-L2-7,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-8-067,internal_support,SP-L2-8,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-8-068,internal_support,SP-L2-8,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-9-069,internal_support,SP-L2-9,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-9-070,internal_support,SP-L2-9,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-10-071,internal_support,SP-L2-10,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-10-072,internal_support,SP-L2-10,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-11-073,internal_support,SP-L2-11,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-11-074,internal_support,SP-L2-11,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-12-075,internal_support,SP-L2-12,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-12-076,internal_support,SP-L2-12,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-13-077,internal_support,SP-L2-13,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-13-078,internal_support,SP-L2-13,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L2-14-079,internal_support,SP-L2-14,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L2-14-080,internal_support,SP-L2-14,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L2-1-081,internal_support,DB-L2-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L2-1-082,internal_support,DB-L2-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L2-2-083,internal_support,DB-L2-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L2-2-084,internal_support,DB-L2-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L2-3-085,internal_support,DB-L2-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L2-3-086,internal_support,DB-L2-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
DB-L2-4-087,internal_support,DB-L2-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,5.322,42.576,164.06,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
DB-L2-4-088,internal_support,DB-L2-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,32,6.5,208.0,184.67,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-1-089,internal_support,SP-L3-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-1-090,internal_support,SP-L3-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-2-091,internal_support,SP-L3-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-2-092,internal_support,SP-L3-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-3-093,internal_support,SP-L3-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-3-094,internal_support,SP-L3-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-4-095,internal_support,SP-L3-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-4-096,internal_support,SP-L3-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-5-097,internal_support,SP-L3-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-5-098,internal_support,SP-L3-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-6-099,internal_support,SP-L3-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-6-100,internal_support,SP-L3-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-7-101,internal_support,SP-L3-7,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-7-102,internal_support,SP-L3-7,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-8-103,internal_support,SP-L3-8,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-8-104,internal_support,SP-L3-8,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-9-105,internal_support,SP-L3-9,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-9-106,internal_support,SP-L3-9,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L3-10-107,internal_support,SP-L3-10,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,31.36,250.88,966.73,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L3-10-108,internal_support,SP-L3-10,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,187,6.5,1215.5,1079.14,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
