host_type,host_code,group_name,bar_type,diameter_mm,spacing_mm,count,grade,status,location_description
internal_support,SP-L1-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-5,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-5,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-6,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-6,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-7,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-7,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-8,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-8,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-9,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-9,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-10,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-10,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-11,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-11,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-12,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-12,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-13,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-13,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L1-14,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L1-14,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L1-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L1-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L1-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L1-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L1-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L1-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L1-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L1-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-5,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-5,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-6,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-6,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-7,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-7,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-8,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-8,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-9,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-9,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-10,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-10,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-11,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-11,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-12,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-12,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-13,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-13,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L2-14,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L2-14,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L2-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L2-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L2-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L2-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L2-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L2-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L2-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L2-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-5,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-5,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-6,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-6,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-7,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-7,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-8,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-8,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-9,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-9,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-10,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-10,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-11,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-11,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-12,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-12,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-13,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-13,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L3-14,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L3-14,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L3-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L3-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L3-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L3-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L3-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L3-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L3-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L3-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-5,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-5,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-6,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-6,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-7,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-7,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-8,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-8,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-9,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-9,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-10,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-10,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-11,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-11,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-12,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-12,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-13,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-13,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L4-14,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L4-14,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L4-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L4-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L4-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L4-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L4-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L4-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,DB-L4-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,DB-L4-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L5-1,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L5-1,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L5-2,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L5-2,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L5-3,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L5-3,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L5-4,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
internal_support,SP-L5-4,支撑箍筋,stirrup,12.0,150.0,,HRB400,manual_review,RC support stirrups; shear and confinement detailing requires professional review
internal_support,SP-L5-5,支撑纵筋,longitudinal,25.0,,8,HRB400,preliminary,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
